epoch	loss	prec1	prec5	lr
1	4.831115245819092	52.67857360839844	93.80952453613281	0.04
2	3.473440647125244	71.9047622680664	98.75	0.04
3	3.1690757274627686	75.05952453613281	98.80952453613281	0.04
4	2.716140031814575	81.66667175292969	99.70238494873047	0.04
5	2.607473611831665	81.8452377319336	99.76190948486328	0.04
6	2.459953784942627	83.45238494873047	99.8809585571289	0.04
7	2.1782591342926025	86.48809814453125	99.8809585571289	0.04
8	2.0575168132781982	88.69048309326172	99.94048309326172	0.04
9	2.024224281311035	88.92857360839844	99.8809585571289	0.04
10	1.886023759841919	91.36904907226562	99.8809585571289	0.04
11	1.7012311220169067	93.21428680419922	99.94048309326172	0.04
12	1.7084084749221802	91.19048309326172	99.94048309326172	0.04
13	1.7757493257522583	91.1309585571289	99.94048309326172	0.04
14	1.4559564590454102	94.58333587646484	100.00000762939453	0.04
15	1.4596513509750366	95.23809814453125	100.00000762939453	0.04
16	1.3530879020690918	94.8809585571289	99.94048309326172	0.04
17	1.3720715045928955	94.94048309326172	100.00000762939453	0.04
18	1.2873120307922363	95.4761962890625	100.00000762939453	0.04
19	1.1948570013046265	95.83333587646484	100.00000762939453	0.04
20	1.0369961261749268	96.7261962890625	100.00000762939453	0.04
21	1.0026518106460571	96.60714721679688	100.00000762939453	0.04
22	1.112931251525879	95.6547622680664	100.00000762939453	0.04
23	0.9438324570655823	97.3809585571289	100.00000762939453	0.04
24	0.8717575669288635	97.44048309326172	100.00000762939453	0.04
25	0.9029582142829895	97.55952453613281	100.00000762939453	0.04
26	0.7861196994781494	97.73809814453125	100.00000762939453	0.04
27	0.8007338047027588	98.27381134033203	100.00000762939453	0.04
28	0.628143846988678	98.86904907226562	100.00000762939453	0.04
29	0.6566201448440552	98.75	100.00000762939453	0.04
30	0.7637145519256592	98.03572082519531	100.00000762939453	0.04
31	0.6757206320762634	98.39286041259766	100.00000762939453	0.04
32	0.5866347551345825	98.5714340209961	100.00000762939453	0.04
33	0.6681020855903625	98.45238494873047	100.00000762939453	0.04
34	0.5352482199668884	99.2261962890625	100.00000762939453	0.04
35	0.42699477076530457	99.76190948486328	100.00000762939453	0.04
36	0.4727928936481476	99.10714721679688	100.00000762939453	0.04
37	0.43207424879074097	99.28572082519531	100.00000762939453	0.04
38	0.6130436062812805	98.27381134033203	100.00000762939453	0.04
39	0.48351699113845825	98.92857360839844	100.00000762939453	0.04
40	0.27438831329345703	99.8809585571289	100.00000762939453	0.004
41	0.17190276086330414	99.8809585571289	100.00000762939453	0.004
42	0.1538771539926529	100.00000762939453	100.00000762939453	0.004
43	0.13148005306720734	99.94048309326172	100.00000762939453	0.004
44	0.12468316406011581	99.94048309326172	100.00000762939453	0.004
45	0.14968883991241455	99.94048309326172	100.00000762939453	0.004
46	0.10866515338420868	99.94048309326172	100.00000762939453	0.004
47	0.1167667880654335	99.94048309326172	100.00000762939453	0.004
48	0.12988293170928955	99.94048309326172	100.00000762939453	0.004
49	0.11596238613128662	100.00000762939453	100.00000762939453	0.004
50	0.11113739758729935	99.8809585571289	100.00000762939453	0.004
51	0.10030569136142731	100.00000762939453	100.00000762939453	0.004
52	0.0952819213271141	100.00000762939453	100.00000762939453	0.004
53	0.09633892774581909	100.00000762939453	100.00000762939453	0.004
54	0.09080177545547485	99.8809585571289	100.00000762939453	0.004
55	0.10613411664962769	100.00000762939453	100.00000762939453	0.0004000000000000001
56	0.0864071324467659	100.00000762939453	100.00000762939453	0.0004000000000000001
57	0.08625973761081696	100.00000762939453	100.00000762939453	0.0004000000000000001
58	0.08686166256666183	100.00000762939453	100.00000762939453	0.0004000000000000001
59	0.08123374730348587	100.00000762939453	100.00000762939453	0.0004000000000000001
60	0.0968947783112526	100.00000762939453	100.00000762939453	0.0004000000000000001
61	0.0919950008392334	99.94048309326172	100.00000762939453	0.0004000000000000001
62	0.08633631467819214	100.00000762939453	100.00000762939453	0.0004000000000000001
63	0.09259135276079178	99.94048309326172	100.00000762939453	0.0004000000000000001
64	0.08022923767566681	100.00000762939453	100.00000762939453	0.0004000000000000001
65	0.09569203853607178	100.00000762939453	100.00000762939453	4.000000000000001e-05
66	0.08194149285554886	100.00000762939453	100.00000762939453	4.000000000000001e-05
67	0.07903686165809631	100.00000762939453	100.00000762939453	4.000000000000001e-05
68	0.07775172591209412	100.00000762939453	100.00000762939453	4.000000000000001e-05
69	0.08780079334974289	99.94048309326172	100.00000762939453	4.000000000000001e-05
70	0.09395092725753784	100.00000762939453	100.00000762939453	4.000000000000001e-06
71	0.08926226943731308	100.00000762939453	100.00000762939453	4.000000000000001e-06
72	0.08967368304729462	100.00000762939453	100.00000762939453	4.000000000000001e-06
73	0.09315316379070282	100.00000762939453	100.00000762939453	4.000000000000001e-06
74	0.08882942795753479	99.94048309326172	100.00000762939453	4.000000000000001e-06
75	0.09783241897821426	99.94048309326172	100.00000762939453	4.000000000000001e-06
76	0.08870267868041992	100.00000762939453	100.00000762939453	4.000000000000001e-06
77	0.07770523428916931	100.00000762939453	100.00000762939453	4.000000000000001e-06
78	0.07874566316604614	100.00000762939453	100.00000762939453	4.000000000000001e-06
79	0.08026682585477829	100.00000762939453	100.00000762939453	4.000000000000001e-06
80	0.09827101975679398	99.94048309326172	100.00000762939453	4.000000000000001e-06
81	0.08649736642837524	99.94048309326172	100.00000762939453	4.000000000000001e-06
82	0.08815357089042664	100.00000762939453	100.00000762939453	4.000000000000001e-06
83	0.10382653772830963	100.00000762939453	100.00000762939453	4.000000000000001e-06
84	0.0776086375117302	100.00000762939453	100.00000762939453	4.000000000000001e-06
85	0.07937909662723541	100.00000762939453	100.00000762939453	4.000000000000001e-06
86	0.06979423016309738	100.00000762939453	100.00000762939453	4.000000000000001e-06
87	0.09096518158912659	99.94048309326172	100.00000762939453	4.000000000000001e-06
88	0.08712466806173325	100.00000762939453	100.00000762939453	4.000000000000001e-06
89	0.09646907448768616	99.94048309326172	100.00000762939453	4.000000000000001e-06
90	0.08408160507678986	100.00000762939453	100.00000762939453	4.000000000000001e-06
91	0.08497167378664017	100.00000762939453	100.00000762939453	4.000000000000001e-06
92	0.08603271842002869	100.00000762939453	100.00000762939453	4.000000000000001e-06
93	0.10376211255788803	99.94048309326172	100.00000762939453	4.000000000000001e-06
94	0.08082267642021179	100.00000762939453	100.00000762939453	4.000000000000001e-06
95	0.07854132354259491	100.00000762939453	100.00000762939453	4.000000000000001e-06
96	0.08569514006376266	100.00000762939453	100.00000762939453	4.000000000000001e-06
97	0.09556616097688675	99.94048309326172	100.00000762939453	4.000000000000001e-06
98	0.10191000252962112	99.94048309326172	100.00000762939453	4.000000000000001e-06
99	0.0882861316204071	99.94048309326172	100.00000762939453	4.000000000000001e-06
100	0.09812979400157928	99.8809585571289	100.00000762939453	4.000000000000001e-06
